"mileage","engineRPM","ignition","malfunction","speed","VIN","engineCoolantTemperature","fuelLevel","altitude","heading","nbSat","latitude","longitude","compassX","accelZ","accelY","accelX","compassY","compassZ","date"
4763,652,false,false,0,'1ZVBP8CF0D5267616',82,58.039215686275,-113.02,2.0304868162185,5,37.481557,-122.2081003,0.11408103033717,9.3884765625,-0.24908203125,-0.24908203125,0.11408103033717,-0.89808470690965,"1366482111127.1"
4763,652,false,false,0,'1ZVBP8CF0D5267616',82,58.039215686275,-113.02,2.0304868162185,5,37.481557,-122.2081003,0.12927675247357,9.417216796875,-0.32572265625,-0.32572265625,0.12927675247357,-0.88298461123459,"1366482111295.3"
4763,652,false,false,0,'1ZVBP8CF0D5267616',82,58.039215686275,-113.02,2.0304868162185,5,37.481557,-122.2081003,0.12927675247357,9.417216796875,-0.32572265625,-0.32572265625,0.12927675247357,-0.88298461123459,"1366482111448.4"
4763,652,false,false,0,'1ZVBP8CF0D5267616',82,58.039215686275,-113.02,2.0304868162185,5,37.481557,-122.2081003,0.12927675247357,9.417216796875,-0.32572265625,-0.32572265625,0.12927675247357,-0.88298461123459,"1366482111568.2"
4763,652,false,false,0,'1ZVBP8CF0D5267616',82,58.039215686275,-113.02,2.0304868162185,5,37.481557,-122.2081003,0.11970203572389,9.6950390625,-0.392783203125,-0.392783203125,0.11970203572389,-0.93617711521369,"1366482111710.7"
4763,652,false,false,0,'1ZVBP8CF0D5267616',82,58.039215686275,-113.02,2.0304868162185,5,37.481557,-122.2081003,0.11970203572389,9.6950390625,-0.392783203125,-0.392783203125,0.11970203572389,-0.93617711521369,"1366482111830.8"
4763,652,false,false,0,'1ZVBP8CF0D5267616',82,58.039215686275,-113.02,2.0304868162185,5,37.481557,-122.2081003,0.1342648150516,9.63755859375,-0.392783203125,-0.392783203125,0.1342648150516,-0.89509876701069,"1366482111952.2"
4763,652,false,false,0,'1ZVBP8CF0D5267616',82,58.039215686275,-113.02,2.0304868162185,5,37.481557,-122.2081003,0.1342648150516,9.63755859375,-0.392783203125,-0.392783203125,0.1342648150516,-0.89509876701069,"1366482112074.2"
4763,652,false,false,0,'1ZVBP8CF0D5267616',82,58.039215686275,-113.02,2.0304868162185,5,37.481557,-122.2081003,0.18036051772335,9.513017578125,-0.335302734375,-0.335302734375,0.18036051772335,-0.87925752390135,"1366482112196.5"
4763,652,false,false,0,'1ZVBP8CF0D5267616',82,58.039215686275,-113.11,2.1501985813752,5,37.4815543,-122.2080951,0.18036051772335,9.513017578125,-0.335302734375,-0.335302734375,0.18036051772335,-0.87925752390135,"1366482112320.8"
